guilty(p0).
sufficient_for_harm(p0,n).
produce_harm(p0,y).
plan_known(p0,y).
plan_include_harm(p0,y).
someone_else_cause_harm(p0,n).
outrank_perpetrator(p0,n).
monitor(p0,y).
harm_caused_as_planned(p0,y).
goal_outweigh_harm(p0,y).
goal_achieveable_less_harmful(p0,n).
foresee_intervention(p0,y).
external_cause(p0,n).
control_perpetrator(p0,y).
benefit_protagonist(p0,y).
careful(p0,y).
benefit_victim(p0,0).
severity_harm(p0,1).
achieve_goal(p0,n).
intervening_contribution(p0,n).
foreseeability(p0,high).
external_force(p0,n).
mental_state(p0,negligent).
necessary_for_harm(p0,y).

guilty(p1).
produce_harm(p1,n).
plan_known(p1,n).
plan_include_harm(p1,n).
someone_else_cause_harm(p1,n).
outrank_perpetrator(p1,y).
necessary_for_harm(p1,n).
monitor(p1,y).
intervening_contribution(p1,n).
harm_caused_as_planned(p1,y).
goal_outweigh_harm(p1,n).
goal_achieveable_less_harmful(p1,y).
external_cause(p1,n).
control_perpetrator(p1,y).
benefit_protagonist(p1,y).
careful(p1,n).
benefit_victim(p1,0).
severity_harm(p1,1).
achieve_goal(p1,n).
foresee_intervention(p1,y).
foreseeability(p1,high).
external_force(p1,n).
mental_state(p1,negligent).
sufficient_for_harm(p1,y).

guilty(p2).
sufficient_for_harm(p2,y).
plan_known(p2,n).
plan_include_harm(p2,n).
someone_else_cause_harm(p2,n).
outrank_perpetrator(p2,y).
necessary_for_harm(p2,y).
monitor(p2,y).
harm_caused_as_planned(p2,y).
goal_outweigh_harm(p2,y).
goal_achieveable_less_harmful(p2,n).
foresee_intervention(p2,n).
external_cause(p2,y).
control_perpetrator(p2,y).
benefit_protagonist(p2,y).
careful(p2,n).
benefit_victim(p2,0).
severity_harm(p2,1).
achieve_goal(p2,n).
intervening_contribution(p2,n).
foreseeability(p2,high).
external_force(p2,n).
mental_state(p2,negligent).
produce_harm(p2,y).

guilty(p3).
sufficient_for_harm(p3,y).
produce_harm(p3,y).
plan_known(p3,y).
plan_include_harm(p3,y).
someone_else_cause_harm(p3,n).
outrank_perpetrator(p3,y).
monitor(p3,y).
intervening_contribution(p3,n).
harm_caused_as_planned(p3,y).
goal_outweigh_harm(p3,y).
external_cause(p3,n).
control_perpetrator(p3,y).
benefit_protagonist(p3,y).
achieve_goal(p3,n).
careful(p3,n).
benefit_victim(p3,0).
severity_harm(p3,1).
goal_achieveable_less_harmful(p3,y).
foresee_intervention(p3,y).
foreseeability(p3,high).
external_force(p3,n).
mental_state(p3,negligent).
necessary_for_harm(p3,y).

guilty(p4).
sufficient_for_harm(p4,y).
plan_known(p4,y).
plan_include_harm(p4,n).
