===== Instance number 1: =====
1 1   0 3      0     120.00      21.00 ao   1000
1 1   1 3      0      55.00       7.50 aa   1000
1 1   2 3      0      26.00       1.40 vo   1000
1 1   3 3      0      11.00       0.80 va   1000
1 1   4 2      0       7.00       5.50 ao   1000
1 1   5 2      0      25.00       5.50 aa   1000
1 1   6 2      0      13.00       0.75 vo   1000
1 1   7 2      0       9.00       0.95 va   1000
1 1   8 2   6000       8.00       0.40 io   1000
1 1   9 2   6000       5.50       0.30 ia   1000
1 1  10 2  18000       2.75       0.60 ia   1000
1 1  11 2  20000       6.50       0.00 io   1000
1 1  12 2  22000       2.75       0.00 ia   1000
1 1  13 2  23000       3.75       0.00 io   1000
1 1  14 2   2000       1.40       0.00 ia   1000
1 1  15 3   4000      18.00       0.00 io   1000
1 1  16 3   4000       1.90       0.00 ia   1000
1 1  17 3   3000       7.00       0.00 io   1000
1 1  18 3  24000       1.25       0.00 ia   1000
1 1  19 3  20000       4.00       0.00 ia   1000
1 1  20 3  18000       3.50       0.00 io   1000
1 1  21 3   6000       2.50       0.25 io   1000
1 1  22 3   1000      12.00       1.00 io   1000
1 1  23 3   2000       4.50       0.00 io   1000
1 1  24 3   2000       4.50       0.35 ia   1000
1 1  25 3   4000      18.00       0.00 ma   1000
===== Instance number 2: =====
1 1   0 1      0       9.00       0.00 ao   3000
1 1   1 1      0       6.00       0.00 av   3000
1 1   2 1      0       2.50       0.00 vo   3000
1 1   3 1      0       1.30       0.00 vv   3000
1 1   4 3      0      65.00       0.00 ao   3000
1 1   5 3      0      22.50       0.00 av   3000
1 1   6 3      0      12.00       0.00 vo   3000
1 1   7 3      0       3.50       0.00 vv   3000
1 1   8 4      0      27.50       0.00 ao   3000
1 1   9 4      0       9.00       0.00 aa   3000
1 1  10 4      0       5.50       0.00 vo   3000
1 1  11 4      0       2.30       0.00 va   3000
1 1  12 2      0      10.00       0.00 ao   3000
1 1  13 2      0       7.50       0.00 aa   3000
1 1  14 2      0       2.85       0.00 vo   3000
1 1  15 2      0       1.40       0.00 va   3000
1 1  16 3  18000       0.90       0.00 io   3000
1 1  17 3  18000       0.75       0.00 iv   3000
1 1  18 4   3000       3.30       0.00 io   3000
1 1  19 4   3000       1.30       0.00 ia   3000
1 1  20 4   6000       0.65       0.00 io   3000
1 1  21 4   6000       0.50       0.00 ia   3000
1 1  22 4   9000       2.75       0.00 io   3000
1 1  23 4   9000       0.70       0.00 ia   3000
1 1  24 4  18000       0.70       0.00 io   3000
1 1  25 3   9000       6.00       0.00 io   3000
1 1  26 3   9000       1.00       0.00 iv   3000
1 1  27 2  18000       0.60       0.00 ia   3000
1 1  28 2   6000       2.50       0.00 io   3000
1 1  29 2   6000       0.75       0.00 ia   3000
1 1  30 3   3000       9.00       0.00 io   3000
1 1  31 3   3000       3.10       0.00 iv   3000
1 1  32 3   6000       0.90       0.00 io   3000
1 1  33 1   3000       0.80       0.00 io   3000
1 1  34 1   3000       0.45       0.00 iv   3000
1 1  35 1   6000       2.30       0.00 io   3000
1 1  36 1   6000       0.85       0.00 iv   3000
1 1  37 1  18000       0.70       0.00 iv   3000
1 1  38 2   3000       1.05       0.00 io   3000
1 1  39 2   3000       0.70       0.00 ia   3000
1 1  40 3   3000       9.00       0.00 ma   3000
===== Instance number 3: =====
1 1   0 3      0      47.50       7.00 ao   1500
1 1   1 3      0      20.00       5.50 aa   1500
1 1   2 3      0       3.85       0.90 vo   1500
1 1   3 3      0       1.60       0.70 va   1500
